Description,Basic Unit,Beginning Balance ,Quantity Received ,Quantity Dispensed ,Losses and Adjustments,Ending Balance (Physical Count)
Tabs Ascorbic acid 100mg,1000's,1000,0,0,0,1000
Tabs Ascorbic acid 100mg,1000's,1000,0,0,0,1000
Tabs Ascorbic acid 100mg,1000's,500,0,0,0,500
Tabs Ascorbic acid 100mg,1000's,3000,0,0,0,3000
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,1,0,0,0,1
Tabs Ascorbic acid 100mg,1000's,0,1,0,0,1
Tabs Ascorbic acid 100mg,1000's,3.9,7,7.4,0,3.5
Tabs Ascorbic acid 100mg,1000's,5,10,2,0,13
Tabs Ascorbic acid 100mg,1000's,2,2,1,0,3
Tabs Ascorbic acid 100mg,1000's,5,5,2,0,3
Tabs Ascorbic acid 100mg,1000's,0,2000,1000,0,1000
Tabs Ascorbic acid 100mg,1000's,0,2000,1000,0,1000
Tabs Ascorbic acid 100mg,1000's,0,10,10,0,0
Tabs Ascorbic acid 100mg,1000's,0,8000,4000,0,4000
Tabs Ascorbic acid 100mg,1000's,0,5000,3000,0,3000
Tabs Ascorbic acid 100mg,1000's,0,3,1,0,2
Tabs Ascorbic acid 100mg,1000's,0,3,1,0,2
Tabs Ascorbic acid 100mg,1000's,0,3000,1000,0,2000
Tabs Ascorbic acid 100mg,1000's,0,1000,500,0,500
Tabs Ascorbic acid 100mg,1000's,0,3000,1000,0,2000
Tabs Ascorbic acid 100mg,1000's,0,30,30,0,0
Tabs Ascorbic acid 100mg,1000's,0,8000,5000,0,3000
Tabs Ascorbic acid 100mg,1000's,0,3,3,0,0
Tabs Ascorbic acid 100mg,1000's,0,10,1,0,9
Tabs Ascorbic acid 100mg,1000's,3000,0,1000,0,2000
Tabs Ascorbic acid 100mg,1000's,2,0,1,0,1
Tabs Ascorbic acid 100mg,1000's,2000,0,1000,0,1000
Tabs Ascorbic acid 100mg,1000's,2000,0,1000,0,1000
Tabs Ascorbic acid 100mg,1000's,400,0,200,0,200
Tabs Ascorbic acid 100mg,1000's,1,0,1,0,0
Tabs Ascorbic acid 100mg,1000's,3,0,3,0,0
Tabs Ascorbic acid 100mg,1000's,1,0,1,0,0
Tabs Ascorbic acid 100mg,1000's,1,0,1,0,0
Tabs Ascorbic acid 100mg,1000's,500,0,500,0,0
Tabs Ascorbic acid 100mg,1000's,1,0,1,0,0
Tabs Ascorbic acid 100mg,1000's,1,0,1,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,0,0,0,0,0
Tabs Chlorpheniramine 4mg,1000's,1000,0,0,0,1000
Tabs Chlorpheniramine 4mg,1000's,0.1,0,0,0,0.1
Tabs Chlorpheniramine 4mg,1000's,1,0,0,0,1
Tabs Chlorpheniramine 4mg,1000's,1,0,0,0,1
Tabs Chlorpheniramine 4mg,1000's,1,0,0,0,1
Tabs Chlorpheniramine 4mg,1000's,1,0,0,0,1
Tabs Chlorpheniramine 4mg,1000's,0,1,0,0,1
Tabs Chlorpheniramine 4mg,1000's,0,1,0,0,1
Tabs Chlorpheniramine 4mg,1000's,0,1,0,0,1
Tabs Chlorpheniramine 4mg,1000's,0,2000,0,0,2000
Tabs Chlorpheniramine 4mg,1000's,2,2,1,0,3
Tabs Chlorpheniramine 4mg,1000's,0,1,1,0,0
Tabs Chlorpheniramine 4mg,1000's,0,10,9,0,1
Tabs Chlorpheniramine 4mg,1000's,1950,0,50,0,1900
Tabs Chlorpheniramine 4mg,1000's,3,0,1,0,2
Tabs Chlorpheniramine 4mg,1000's,1,0,0.5,0,0.5
Tabs Chlorpheniramine 4mg,1000's,2000,0,50,0,1950
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,0,0,0,0,0
Tabs Co-trimoxazole 480mg,1000's,5,0,0,0,5
Tabs Co-trimoxazole 480mg,1000's,500,0,0,0,500
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1,0,0,0,1
Tabs Co-trimoxazole 480mg,1000's,0,2000,0,0,2000
Tabs Co-trimoxazole 480mg,1000's,0,1,0,0,1
Tabs Co-trimoxazole 480mg,1000's,0,1,0,0,1
Tabs Co-trimoxazole 480mg,1000's,1000,3000,2000,0,2000
Tabs Co-trimoxazole 480mg,1000's,2,2,1,0,3
Tabs Co-trimoxazole 480mg,1000's,0,1000,70,0,930
Tabs Co-trimoxazole 480mg,1000's,0,1,1,0,0
Tabs Co-trimoxazole 480mg,1000's,0,1000,300,0,700
Tabs Co-trimoxazole 480mg,1000's,0,1000,500,0,500
Tabs Co-trimoxazole 480mg,1000's,0,3000,1000,0,2000
Tabs Co-trimoxazole 480mg,1000's,500,0,200,0,300
Tabs Co-trimoxazole 480mg,1000's,700,0,200,0,500
Tabs Co-trimoxazole 480mg,1000's,2000,0,1000,0,1000
Tabs Co-trimoxazole 480mg,1000's,140,0,140,0,0
Tabs Co-trimoxazole 480mg,1000's,1,0,1,0,0
Tabs Co-trimoxazole 480mg,1000's,600,0,600,0,0
Tabs Co-trimoxazole 480mg,1000's,1,0,1,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,0,0,0,0,0
Tabs Ferrous sulphate 200mg,1000's,1000,0,0,0,1000
Tabs Ferrous sulphate 200mg,1000's,2,0,0,0,2
Tabs Ferrous sulphate 200mg,1000's,1000,0,0,0,1000
Tabs Ferrous sulphate 200mg,1000's,1000,0,0,0,1000
Tabs Ferrous sulphate 200mg,1000's,500,0,0,0,500
Tabs Ferrous sulphate 200mg,1000's,1,0,0,0,1
Tabs Ferrous sulphate 200mg,1000's,1,0,0,0,1
Tabs Ferrous sulphate 200mg,1000's,1,0,0,0,1
Tabs Ferrous sulphate 200mg,1000's,1,0,0,0,1
Tabs Ferrous sulphate 200mg,1000's,1,0,0,0,1
Tabs Ferrous sulphate 200mg,1000's,1,0,0,0,1
Tabs Ferrous sulphate 200mg,1000's,0,5000,0,0,5000
Tabs Ferrous sulphate 200mg,1000's,0,3,0,0,3
Tabs Ferrous sulphate 200mg,1000's,0,1,0,0,1
Tabs Ferrous sulphate 200mg,1000's,3.6,12,9.2,0,6.4
Tabs Ferrous sulphate 200mg,1000's,10,10,2,0,18
Tabs Ferrous sulphate 200mg,1000's,8,8,4,0,0
Tabs Ferrous sulphate 200mg,1000's,10,10,2,0,8
Tabs Ferrous sulphate 200mg,1000's,0,3000,1000,0,2000
Tabs Ferrous sulphate 200mg,1000's,0,3,3,0,0
Tabs Ferrous sulphate 200mg,1000's,0,8000,4000,0,4000
Tabs Ferrous sulphate 200mg,1000's,0,10,2,0,8
Tabs Ferrous sulphate 200mg,1000's,0,5000,3000,0,2000
Tabs Ferrous sulphate 200mg,1000's,0,3,1,0,2
Tabs Ferrous sulphate 200mg,1000's,0,3000,1000,0,2000
Tabs Ferrous sulphate 200mg,1000's,0,1000,500,0,500
Tabs Ferrous sulphate 200mg,1000's,0,3000,1000,0,2000
Tabs Ferrous sulphate 200mg,1000's,0,3,1,0,2
Tabs Ferrous sulphate 200mg,1000's,0,8000,5000,0,3000
Tabs Ferrous sulphate 200mg,1000's,0,3,3,0,0
Tabs Ferrous sulphate 200mg,1000's,0,1,1,0,0
Tabs Ferrous sulphate 200mg,1000's,0,3,3,0,0
Tabs Ferrous sulphate 200mg,1000's,0,5,3,0,2
Tabs Ferrous sulphate 200mg,1000's,2,0,1,0,1
Tabs Ferrous sulphate 200mg,1000's,2000,0,1000,0,1000
Tabs Ferrous sulphate 200mg,1000's,3,0,1,0,2
Tabs Ferrous sulphate 200mg,1000's,2000,0,1000,0,1000
Tabs Ferrous sulphate 200mg,1000's,2,0,1,0,1
Tabs Ferrous sulphate 200mg,1000's,160,0,160,0,0
Tabs Ferrous sulphate 200mg,1000's,1,0,1,0,0
Tabs Ferrous sulphate 200mg,1000's,650,0,650,0,0
Tabs Ferrous sulphate 200mg,1000's,3000,0,3000,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,0,0,0,0,0
Tabs Folic acid 5mg,1000's,1000,0,0,0,1000
Tabs Folic acid 5mg,1000's,2,0,0,0,2
Tabs Folic acid 5mg,1000's,1000,0,0,0,1000
Tabs Folic acid 5mg,1000's,1000,0,0,0,1000
Tabs Folic acid 5mg,1000's,1000,0,0,0,1000
Tabs Folic acid 5mg,1000's,2000,0,0,0,2000
Tabs Folic acid 5mg,1000's,1,0,0,0,1
Tabs Folic acid 5mg,1000's,1,0,0,0,1
Tabs Folic acid 5mg,1000's,1,0,0,0,1
Tabs Folic acid 5mg,1000's,1,0,0,0,1
Tabs Folic acid 5mg,1000's,1,0,0,0,1
Tabs Folic acid 5mg,1000's,0,3,0,0,3
Tabs Folic acid 5mg,1000's,0,1000,0,0,1000
Tabs Folic acid 5mg,1000's,0,1,0,0,1
Tabs Folic acid 5mg,1000's,1.4,10,7.4,0,4
Tabs Folic acid 5mg,1000's,2000,3000,1000,0,4000
Tabs Folic acid 5mg,1000's,10,10,2,0,18
Tabs Folic acid 5mg,1000's,3,3,2,0,0
Tabs Folic acid 5mg,1000's,10,10,2,0,8
Tabs Folic acid 5mg,1000's,0,3000,1000,0,2000
Tabs Folic acid 5mg,1000's,0,1,1,0,0
Tabs Folic acid 5mg,1000's,0,10000,4000,0,6000
Tabs Folic acid 5mg,1000's,0,10,2,0,8
Tabs Folic acid 5mg,1000's,0,5000,3000,0,32021
Tabs Folic acid 5mg,1000's,0,3,1,0,2
Tabs Folic acid 5mg,1000's,0,3000,1000,0,2000
Tabs Folic acid 5mg,1000's,0,3000,1000,0,2000
Tabs Folic acid 5mg,1000's,0,1,1,0,0
Tabs Folic acid 5mg,1000's,0,3,2,0,1
Tabs Folic acid 5mg,1000's,0,1,1,0,0
Tabs Folic acid 5mg,1000's,0,1,1,0,0
Tabs Folic acid 5mg,1000's,3,0,2,0,1
Tabs Folic acid 5mg,1000's,2000,0,1000,0,1000
Tabs Folic acid 5mg,1000's,3,0,1,0,2
Tabs Folic acid 5mg,1000's,2000,0,1000,0,1000
Tabs Folic acid 5mg,1000's,2,0,1,0,1
Tabs Folic acid 5mg,1000's,90,0,20,0,70
Tabs Folic acid 5mg,1000's,300,0,300,0,0
Tabs Folic acid 5mg,1000's,1,0,1,0,0
Tabs Folic acid 5mg,1000's,0.5,0,0.5,0,0
Tabs Folic acid 5mg,1000's,550,0,550,0,0
Tabs Folic acid 5mg,1000's,1,0,1,0,0
Tabs Folic acid 5mg,1000's,1,0,1,0,0
Tabs Folic acid 5mg,1000's,1000,0,1000,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
Tabs Ibuprofen 200mg,1000's,0,0,0,0,0
